Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num ADM,Num Acinar,Num Ductal_Amy_overexpr,Num Immune,Num Langerhans,Num Non_malignant_duct,Num Stroma,Num Stroma_periductal,Area µm^2,Perimeter µm,Num Stroma_Amy_leakage
PKR14_K19amy_pd lobule C (uncropped).nd2 - PKR14_K19amy_pd lobule C (uncropped).nd2 (series 1),a7647a40-d5ab-4af4-a373-5702e4a340c5,Tumor,Tumor,Image,Geometry,2146.6,2761.8,0,0,,0,0,0,0,0,0,2652988.5,52615.8,
PKR14_K19amy_pd lobule D (uncropped).nd2 - PKR14_K19amy_pd lobule D (uncropped).nd2 (series 1),d08b57cc-69ee-4a26-88f6-9d404ddbdc88,l_atrophy_tu,l_atrophy_tu,Image,Polygon,1319.7,1349.6,4058,10,0,243,217,2025,125,953,485,890850.5,4162,
PKR14_K19amy_pd lobule D (uncropped).nd2 - PKR14_K19amy_pd lobule D (uncropped).nd2 (series 1),177192d9-b85c-47e4-9c7a-19d413c4d078,l_atrophy_tu,l_atrophy_tu,Image,Polygon,414.75,1851.7,1986,4,1,83,92,873,79,476,378,384753.5,3024.8,
PKR14_K19amy_pd lobule D (uncropped).nd2 - PKR14_K19amy_pd lobule D (uncropped).nd2 (series 1),f3e310ef-2b72-4c8c-87e1-93fc98ef41f7,Tumor,Tumor,Image,Geometry,937.75,1501.7,0,0,0,0,0,0,0,0,0,1530099.7,27206.4,
PKR14_K19amy_pd lobule E (uncropped).nd2 - PKR14_K19amy_pd lobule E (uncropped).nd2 (series 1),6a2b6c1f-d680-4886-95ce-df737c7289d6,l_atrophy_tu,l_atrophy_tu,Image,Polygon,1189.5,1302.6,4101,227,17,149,464,96,438,782,1641,767713.2,4109.8,287
PKR14_K19amy_pd lobule E (uncropped).nd2 - PKR14_K19amy_pd lobule E (uncropped).nd2 (series 1),3bf49dc2-855e-422d-a8bb-7833e2443587,Tumor,Tumor,Image,Geometry,1199.8,1368.4,0,0,0,0,0,0,0,0,0,776690.1,21224,0
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),8af0307d-039c-4f27-9c4b-c0e9f30b653b,Tumor,Tumor,Image,Geometry,695.02,920.43,0,0,0,0,0,0,0,0,0,204778.2,7109.7,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),7b573dde-575d-47da-9405-b8090d1d92ba,l_atrophy,l_atrophy,Image,Polygon,675.17,730.36,3389,103,4,623,598,899,67,180,915,767111.8,3837.5,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),0bfd2de0-f071-463f-91da-9199b510dfd2,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,1119.4,444.29,11,0,0,11,0,0,0,0,0,1634.4,150.14,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),b8d75de9-b142-4903-a8fb-bc258523bae5,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,1265.8,288.28,6,0,0,6,0,0,0,0,0,718.27,122.62,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),1b00f002-b808-4a32-a18e-247731b23f72,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,1239.4,137.15,2,0,0,2,0,0,0,0,0,293.62,69.71,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),9c20ed04-88c3-43ab-822b-ef2959251c9b,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,653.29,761.04,18,0,0,18,0,0,0,0,0,3233.2,,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),868ac83c-970b-4ee0-a127-2d3cad1c1a1c,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,650.85,936.66,8,0,0,8,0,0,0,0,0,1775.1,177.14,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),3c510e91-1e87-4464-a9db-b3b563ce1dcc,Non_malignant_duct,Non_malignant_duct,Image,Polygon,726.67,578.03,27,0,0,24,0,0,3,0,0,3185.5,222.07,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),e02909ff-4a8a-4d3a-969b-65b7cb676262,Non_malignant_duct,Non_malignant_duct,Image,Polygon,723.32,494.99,5,0,0,5,0,0,0,0,0,676.44,101.54,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),4629f40a-4822-4c68-8551-614c64892bf5,Non_malignant_duct,Non_malignant_duct,Image,Polygon,568.18,699.86,9,0,0,8,0,0,1,0,0,903.03,110.13,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),c2b76dad-6958-4ad3-b86c-d0c473be4d59,Non_malignant_duct,Non_malignant_duct,Image,Polygon,176.25,1177.7,2,0,0,2,0,0,0,0,0,345.9,80.64,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),dcbdba00-43c8-4b3d-9790-18a9b04a5e0e,Stroma,Stroma,Image,Polygon,420.96,888.54,107,0,0,0,29,62,0,1,15,15477.4,676.87,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),33af1886-2d38-4829-9a63-12aad086038a,Stroma,Stroma,Image,Polygon,923.81,601.71,37,1,0,0,5,18,0,3,10,24365.1,582.79,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),8576ba87-2584-492a-bdbc-e51a5b932b37,Stroma,Stroma,Image,Polygon,1161.8,244.51,21,4,0,1,3,11,0,2,0,6347.8,345.87,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),ab213ded-7729-41db-ab4e-9974e902b642,Stroma,Stroma,Image,Polygon,1046.6,244.59,23,3,0,1,12,5,0,2,0,6007.2,297,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),ea826e48-c9b5-4042-8594-880eb119c4dc,Stroma_periductal,Stroma_periductal,Image,Polygon,945.31,291.05,40,1,0,10,0,2,0,0,27,5073.5,337.08,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),b3a33516-7961-4609-a372-05936add164d,Stroma_periductal,Stroma_periductal,Image,Polygon,1217.3,135.32,14,0,0,14,0,0,0,0,0,1805.2,287.53,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),e0289c14-3397-4069-bc88-1aa75eecffb0,Stroma_periductal,Stroma_periductal,Image,Polygon,841.92,504.3,10,0,0,0,0,1,0,0,9,1547.2,156.44,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),12ecf656-7ede-42c3-abb6-e5f3af8e02cc,Stroma_periductal,Stroma_periductal,Image,Polygon,432.38,750.65,28,0,0,1,1,3,2,0,21,3255.5,285.73,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),e3f648f5-f79c-4f97-8aa4-56c4fd86380b,Stroma_periductal,Stroma_periductal,Image,Polygon,169.44,1046.3,44,1,0,4,0,2,6,0,31,4398.5,284.44,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),c301a00a-aca4-4669-a1be-ca8cf6e9ea2c,Stroma_periductal,Stroma_periductal,Image,Polygon,377.49,1186.2,26,2,0,4,0,1,1,0,18,2928.6,349.57,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),c5ad10a9-239f-45d4-a631-3eec55f90a48,Immune,Immune,Image,Polygon,901.31,408.88,48,0,0,0,25,15,0,1,7,4861.1,284.03,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),1817e4d3-998e-47e4-b45f-29e15374d321,Immune,Immune,Image,Polygon,988.63,476.93,27,0,0,1,12,8,0,0,6,2372.5,185.61,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),f423ed88-f81f-45ff-b3bf-fb138284505a,Immune,Immune,Image,Polygon,1024.3,350.28,6,0,0,0,3,2,0,0,1,469.89,85,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),1ba506fc-d478-4669-a350-0720267da45f,Immune,Immune,Image,Polygon,505.92,683.74,1,0,0,0,0,0,0,0,1,104.78,41.58,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),b50f7bf2-d745-4153-9959-bb77bc3e908b,Immune,Immune,Image,Polygon,520.33,691.35,4,0,0,0,2,1,0,1,0,327.02,84.5,
PKR16_K19amy_d lobule.nd2 - PKR16_K19amy_d lobule.nd2 (series 1),03c2fee0-9267-482f-b7d3-a2d6bbec7859,cell_cleanup,cell_cleanup,Image,Geometry,828.76,895.88,0,0,0,0,0,0,0,0,0,26797.1,982.9,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),713b338a-e51c-49ac-9f11-a94487562ad6,Tumor,Tumor,Image,Geometry,738.64,882.2,0,0,0,0,0,,0,0,0,201080.2,9694.7,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),f0ba024d-23a5-43d5-847b-46b91b875095,Acinar,Acinar,Image,Polygon,1125.3,1143,11,0,11,0,0,,0,0,0,2174.5,227.12,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),b98b0f85-58e8-4ad1-970c-8937717eef51,Acinar,Acinar,Image,Polygon,1057.1,1344,11,1,9,0,1,,0,0,0,1386.8,178.93,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),62e6f4d7-9612-4cbc-a7d3-04190fdfb9c4,Acinar,Acinar,Image,Polygon,917.44,1367.5,4,0,4,0,0,,0,0,0,716.31,107.92,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),7b0d44fc-3d07-4b66-bc6c-843407ebc022,Acinar,Acinar,Image,Polygon,1694,1597.1,9,0,9,0,0,,0,0,0,1383.6,189.42,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),5a0f39c2-6516-4261-8be1-e93657097406,Acinar,Acinar,Image,Polygon,1474.8,1760.8,5,0,5,0,0,,0,0,0,797.97,132.66,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),279cd7c2-530d-46f7-91ba-4a26c20aa8f5,Acinar,Acinar,Image,Polygon,1084.3,1751.3,4,0,4,0,0,,0,0,0,787.58,109.83,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),b775bfa2-9a08-49c9-ab32-fea6570a29af,Acinar,Acinar,Image,Polygon,637.94,1498.6,8,0,8,0,0,,0,0,0,1527.8,147.94,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),326c42ce-031f-4797-9665-0c8b21bb3e05,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,2031.2,1862.9,63,0,3,57,1,,0,2,0,10953.6,710.28,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),7e60d28e-89a8-4b9c-a39f-e2673d7f5eca,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,1943.7,2249.2,3,0,0,1,1,,0,0,1,250.61,59.75,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),c4cd0c6c-12e2-415e-ad4e-758d19b6167d,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,1800.1,1377.4,7,0,1,3,0,,1,0,2,911.13,112.55,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),252f5174-3bce-434f-b0d8-492eb8ac1cc2,Non_malignant_duct,Non_malignant_duct,Image,Polygon,1821.9,413.96,12,0,0,0,3,,9,0,0,1036.1,189.57,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),bdc6c0c4-6a6e-40a7-9b96-199d2cfc280e,Non_malignant_duct,Non_malignant_duct,Image,Polygon,1867.9,456.09,9,0,1,0,0,,5,0,3,690.85,124.31,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),63a3a318-b90a-44bc-8035-fcb4ff67831a,Non_malignant_duct,Non_malignant_duct,Image,Polygon,2111,1591.9,6,0,0,0,0,,4,0,2,500.05,92.07,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),855c2037-ce4e-4f84-aa57-6b0b621eca39,Non_malignant_duct,Non_malignant_duct,Image,Polygon,2099,1640.9,5,0,1,0,0,,4,0,0,639.35,108.99,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),ae8c6b02-b1aa-440b-88e7-0ff22eb15c8d,Non_malignant_duct,Non_malignant_duct,Image,Polygon,928.96,2504.2,6,0,1,0,0,,2,0,3,416.33,79.77,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),f89f3658-df75-46d2-8dd1-99dba91bac13,Non_malignant_duct,Non_malignant_duct,Image,Polygon,884.49,2486.9,3,0,1,0,0,,1,0,1,219.33,69.51,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),96be82d8-bb17-4e93-aedc-0cff5e9fb218,Non_malignant_duct,Non_malignant_duct,Image,Polygon,467.26,1330.6,4,0,0,0,0,,2,0,2,258.77,63.61,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),df35b488-363a-4050-a3a8-5fe70876762e,Non_malignant_duct,Non_malignant_duct,Image,Polygon,381.14,1447.8,2,0,0,0,0,,2,0,0,246.93,69.1,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),7d086f18-4f34-4cd9-8171-c10be346c64b,Non_malignant_duct,Non_malignant_duct,Image,Polygon,416.77,1402.1,7,0,0,0,0,,7,0,0,824.5,109.7,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),fe162c38-995c-4593-a7c2-f9e5c633e8b8,Non_malignant_duct,Non_malignant_duct,Image,Polygon,586.46,1120.8,7,0,0,0,0,,7,0,0,749.66,142.25,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),2abf18e2-2e25-4812-8658-e62a28680e83,ADM,ADM,Image,Polygon,609.44,1120.3,2,0,0,1,1,,0,0,0,106.62,40.54,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),f456c602-a5cf-435a-ae26-fa5b97d1f11b,ADM,ADM,Image,Polygon,1194.7,663.69,4,2,2,0,0,,0,0,0,329.92,66.98,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),6742f56f-42d4-4b98-b143-bae78a5a8632,ADM,ADM,Image,Polygon,853.71,2493.7,1,0,1,0,0,,0,0,0,77.3,34.44,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),3f37d84b-ebdd-482a-a2b9-5f7f26eb0aa3,ADM,ADM,Image,Polygon,2297.4,1951.1,1,1,0,0,0,,0,0,0,140.53,48.68,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),81355d04-869e-4cc6-98b7-bfe5b624fdfc,ADM,ADM,Image,Polygon,1813.2,1474.6,4,4,0,0,0,,0,0,0,536.91,87.58,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),e956a7a8-9c49-44f8-9dc6-22cc8576192d,ADM,ADM,Image,Polygon,1418.1,2162.8,4,2,0,1,0,,0,0,1,478.49,83.07,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),8469eb21-d787-45fa-9da7-fe194ff5204e,ADM,ADM,Image,Polygon,1462.5,2234,2,1,0,0,0,,0,0,1,130.42,42.77,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),83295587-7c69-4433-85b4-31c3d9169968,ADM,ADM,Image,Polygon,2054.2,748.01,6,2,1,0,1,,0,0,2,524.01,87.81,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),ab38767c-24be-4597-b086-7aceca03a6d6,Stroma,Stroma,Image,Polygon,359.91,1657.4,33,0,0,0,3,,0,22,8,12416.6,710.47,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),ca4d5d79-06cb-4b77-8592-3e89c649a961,Stroma,Stroma,Image,Polygon,202.63,1548.3,82,0,2,0,5,,1,65,9,10702.1,420.61,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),3f8e2cce-97ac-4aca-92ce-05dc03c2846a,Stroma_periductal,Stroma_periductal,Image,Polygon,2097.7,1973.5,124,0,0,0,1,,0,2,121,14200.8,730.62,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),71f3ae1f-d29a-4d3a-91fe-4ded907371f8,Stroma_periductal,Stroma_periductal,Image,Polygon,1915.5,1903.1,68,0,1,0,1,,0,1,65,8724.2,509.49,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),399f07dd-5f1d-4dd1-a370-d26dba208e8f,Stroma_periductal,Stroma_periductal,Image,Polygon,2188.3,1384.1,166,0,1,2,2,,0,6,155,19375.8,642.71,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),3b1e6898-ce96-4bf4-8cdd-4e6f963b486c,Stroma_periductal,Stroma_periductal,Image,Polygon,985.53,1223,10,0,0,0,2,,0,0,8,832.21,125.56,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),fed807ec-0a54-4b63-9aa5-4fdf00687034,Stroma_periductal,Stroma_periductal,Image,Polygon,1064,1143.1,20,0,0,0,2,,0,2,16,1983.1,230.28,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),574e929a-6b40-4a79-819e-e22d7fce1f1f,Immune,Immune,Image,Polygon,438.48,1188.5,55,0,0,1,47,,0,0,7,5774.3,466.86,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),8d04a75f-b044-40d5-a3e7-92951e091808,Immune,Immune,Image,Polygon,624.14,1013.7,79,0,1,0,62,,0,7,9,9118.7,495.3,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),fd182790-417f-432d-8f9f-128e012ace65,Acinar,Acinar,Image,Polygon,1420.9,2427.7,12,0,10,0,0,,0,1,1,1601.5,224.03,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),2e4073a3-ae58-4468-ba2a-00a1ff1e8de3,Acinar,Acinar,Image,Polygon,1307.1,2500.6,2,0,2,0,0,,0,0,0,213.69,57.27,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),5a94434e-6800-47a4-9d13-a82f4fb862cc,Acinar,Acinar,Image,Polygon,1329.1,2432,3,0,2,0,0,,0,0,1,535.07,86.2,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),c5ff2343-bca6-4169-8514-b01fd14dc74e,Acinar,Acinar,Image,Polygon,929.46,2373.4,23,1,19,0,0,,1,2,0,3751.2,335.42,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),21c8d83a-5ad1-42a8-9437-1ef349b6a50a,Acinar,Acinar,Image,Polygon,979.48,1857.1,11,0,10,0,0,,0,1,0,1786.8,174.94,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),3574883d-3f30-41a6-b528-66a2962fafb1,Acinar,Acinar,Image,Polygon,1382.4,1480.7,4,0,4,0,0,,0,0,0,529.37,89.94,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),4febe2fa-421b-453b-9ae0-04f779787b94,Acinar,Acinar,Image,Polygon,1401.3,1506.7,10,0,9,0,0,,0,0,1,1404.1,165.48,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),884d277e-9357-4c28-99e2-c3040c21a865,ADM,ADM,Image,Polygon,1328.9,1657.3,3,0,1,0,1,,1,0,0,310.77,79.78,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),06611c3d-b65b-4e41-8526-33fe0e6710d7,ADM,ADM,Image,Polygon,1221.8,1740.4,9,7,0,0,0,,0,0,2,728.49,135.9,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),0a678bf5-ff55-4bb8-8afd-db64020e906f,Acinar,Acinar,Image,Polygon,874.17,1424.3,7,0,6,0,1,,0,0,0,1063.8,159.71,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),7169a4dc-ac6d-40f2-85cd-21022a19ca29,Stroma,Stroma,Image,Polygon,1464.8,1139.7,4,0,0,0,1,,0,2,1,1781.3,203.49,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),b9cb8022-b5ec-43fe-a2ed-df145b6c65b2,Stroma,Stroma,Image,Polygon,791.5,1189.8,4,0,0,0,0,,0,2,2,458.94,100.28,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),d614ae61-be89-4f76-9763-30de0f17e8e6,Stroma,Stroma,Image,Polygon,729.14,1230.1,8,0,0,0,0,,0,3,5,1007.8,163.79,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),0b54748f-6e60-4335-885f-be5c2ac36f6e,Stroma,Stroma,Image,Polygon,1658.3,2549.6,7,0,0,0,0,,0,7,0,806.18,124.61,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),c5d15c23-cd67-48ad-a227-0eb1b53e3dbb,ADM,ADM,Image,Polygon,1245.5,1523.8,4,1,2,0,0,,0,0,1,308.98,64.73,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),84c6a7f3-2aa4-422b-8e75-f746b225d330,ADM,ADM,Image,Polygon,1273.2,1498.6,4,4,0,0,0,,0,0,0,446.99,111.09,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),1c32d9c2-20c3-4dac-9d84-2ecd1d5f5cf8,Non_malignant_duct,Non_malignant_duct,Image,Polygon,1211.1,1232.5,1,0,0,0,0,,0,1,0,165.72,51.09,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),dd32cf06-65f7-44b1-affa-9c8460a6f865,Non_malignant_duct,Non_malignant_duct,Image,Polygon,1195.7,1251.5,3,0,0,0,0,,3,0,0,364.83,74.2,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),ffe1a17c-c4b6-4481-b8c6-1bb2ef0bb692,Non_malignant_duct,Non_malignant_duct,Image,Polygon,1222.3,1255.8,2,0,0,1,0,,1,0,0,213.47,58.35,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),20e8d61a-332c-4e01-8700-aa6f9a36dd7f,Non_malignant_duct,Non_malignant_duct,Image,Polygon,893.24,1281.8,4,0,0,0,0,,4,0,0,350.14,93.1,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),d9ed39f7-b6dd-4eaa-a6f2-5abea2fbde41,Non_malignant_duct,Non_malignant_duct,Image,Polygon,873.05,1273.9,4,0,0,0,1,,2,0,1,351.93,91.44,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),a7736bb4-58be-466a-bf23-20b954f643f4,e_atrophy,e_atrophy,Image,Polygon,1991.2,1992.6,7226,256,1293,176,928,,524,1034,3015,949548.4,4817.8,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),c16a0566-0d1a-4512-81ba-0e69fb001361,Preserved,Preserved,Image,Polygon,1352.9,1816.2,11318,540,4376,85,893,,780,1417,3227,1538748.1,5823.5,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),38d75ac1-c951-4a52-9b13-2c1aef313c7a,Preserved,Preserved,Image,Polygon,1344.3,993.38,8840,411,2923,61,615,,588,1284,2958,1170452.4,5840.1,
PKR16_K19amy_p lobule.nd2 - PKR16_K19amy_p lobule.nd2 (series 1),bb4f5edd-ced1-4658-8737-b2ffd374fc6b,l_atrophy,l_atrophy,Image,Polygon,567.23,1210.1,3925,92,166,90,964,,403,516,1694,478995.2,4334,
PKR18_K19amy_d lobule_A.nd2 - PKR18_K19amy_d lobule_A.nd2 (series 1),09e47ca9-856b-4600-b61f-0ffa6cc12a03,l_atrophy,l_atrophy,Image,Polygon,554.09,384.74,3192,,,,517,30,1,2293,21,593044.5,2957.6,330
PKR18_K19amy_d lobule_B.nd2 - PKR18_K19amy_d lobule_B.nd2 (series 1),e534fafb-161f-4658-ba95-ac8138d6492e,l_atrophy,l_atrophy,Image,Polygon,819.34,999.9,5802,4,,5,1263,37,5,3363,7,1101232.6,7175,1118
PKR18_K19amy_d lobule_C.nd2 - PKR18_K19amy_d lobule_C.nd2 (series 1),243ad731-6117-4d78-8b66-206d4ec212b1,l_atrophy,l_atrophy,Image,Polygon,1130.3,845.99,6883,16,7,28,5171,526,58,750,327,1423118.1,7300.6,
PKR18_K19amy_pd lobule_A.nd2 - PKR18_K19amy_pd lobule_A.nd2 (series 1),96800ff8-5020-40bd-9005-edac39faead7,e_atrophy,e_atrophy,Image,Polygon,603.67,931.92,9714,766,531,743,4550,741,404,1733,246,1651334.6,5036.3,
PKR18_K19amy_pd lobule_A.nd2 - PKR18_K19amy_pd lobule_A.nd2 (series 1),3089084c-d518-4ad2-8633-b5717588d769,e_atrophy,e_atrophy,Image,Polygon,2291.1,1142.6,13699,1801,1874,1132,5193,794,919,1576,410,2021970.5,6546.3,
PKR18_K19amy_pd lobule_A.nd2 - PKR18_K19amy_pd lobule_A.nd2 (series 1),91c840cb-f08c-4a7c-91a1-c2ab32905819,e_atrophy,e_atrophy,Image,Polygon,1334.7,998.35,1217,130,333,74,367,71,50,173,19,170612.5,1605.1,
PKR18_K19amy_pd lobule_A.nd2 - PKR18_K19amy_pd lobule_A.nd2 (series 1),cb80b292-f22d-4af3-aa8d-b5a65e9798d7,e_atrophy,e_atrophy,Image,Polygon,1473.8,1712.6,3391,266,443,211,1115,332,139,765,120,577302.3,2919.1,
PKR18_K19amy_pd lobule_B.nd2 - PKR18_K19amy_pd lobule_B.nd2 (series 1),7c8b6acb-82f5-4e7e-9f67-6938d68f83f0,l_atrophy,l_atrophy,Image,Polygon,823.45,660.48,4932,121,120,270,2245,657,127,1097,295,779963,4639.6,
PKR18_K19amy_pd lobule_B.nd2 - PKR18_K19amy_pd lobule_B.nd2 (series 1),8d735f93-e532-40fe-aeb0-141d72e442e8,e_atrophy,e_atrophy,Image,Polygon,852.34,2535.5,23938,1697,1896,1423,12971,1467,1103,2406,975,3532741.1,9160,
